task_type,subsystem,likely_files,read_first_docs,allowed_edit_paths,forbidden_edit_paths,required_tests,required_docs_to_update,approval_required,risk_level,confidence
retrieval_tuning_change,retrieval,"OpenIntelligence/Services/RAG/Retrieval/HybridSearchService.swift; OpenIntelligence/Services/RAG/Retrieval/ContextPackingService.swift; OpenIntelligence/Services/Query/**","Docs/RETRIEVAL_PIPELINE.md; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; Docs/RepoOS/01_TASK_ROUTER.md","OpenIntelligence/Services/RAG/Retrieval/**; OpenIntelligence/Services/Query/**; OpenIntelligence/Services/RAG/Tuning/**; OpenIntelligenceTests/Services/RAG/**","OpenIntelligence/Services/Storage/SQLiteFullTextService.swift; OpenIntelligence/Services/VectorStore/BNNSVectorDatabase.swift; OpenIntelligence.xcodeproj/project.pbxproj","xcodebuild test -scheme OpenIntelligence -only-testing:OpenIntelligenceTests/HybridSearchServiceTests -only-testing:OpenIntelligenceTests/ContextPackingServiceTests; bash scripts/build_simulator_smoke.sh","Docs/RETRIEVAL_PIPELINE.md; CHANGELOG.md",plan_approval_before_edit,medium,high
reranking_fusion_change,reranking/fusion,"OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet+Sections.swift","Docs/RETRIEVAL_PIPELINE.md; Docs/AuditArtifacts/ArchitectureAtlas/subsystem_map.md","OpenIntelligence/Services/RAG/Tuning/**","OpenIntelligence/Services/VectorStore/**; OpenIntelligence/Services/Storage/SQLiteFullTextService.swift","bash scripts/build_simulator_smoke.sh; full xcodebuild test",CHANGELOG.md,plan_approval_before_edit,medium,medium
embedding_provider_change,embeddings,"OpenIntelligence/Services/Embedding/EmbeddingService.swift; OpenIntelligence/Services/Embedding/AdaptiveEmbeddingOptimizer.swift; OpenIntelligence/Services/Embedding/Providers/**","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 17; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 3","OpenIntelligence/Services/Embedding/** (selection logic only)","OpenIntelligence/Services/Embedding/Providers/CoreAISentenceEmbeddingProvider.swift internals; OpenIntelligence/Services/Embedding/Providers/CoreMLSentenceEmbeddingProvider.swift internals; Package.swift; OpenIntelligence/Services/VectorStore/**","bash scripts/build_simulator_smoke.sh; full xcodebuild test; manual AI Subsystem Diagnostics card check","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; CHANGELOG.md",always,high,high
core_ai_ios27_change,Apple Foundation Models,"OpenIntelligence/Services/AIPlatform/AppleFoundationModels/**; OpenIntelligence/Services/AIPlatform/CoreAI/**","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md sections 10 and 17; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md sections 3 and 8; Docs/PRIVACY_AND_ROUTING.md","OpenIntelligence/Services/AIPlatform/** (only with named user approval)","OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift; OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift; OpenIntelligence/Core/Support/EngineSDKCompatibility.swift; OpenIntelligence/OpenIntelligence.entitlements","grep -rn PrivateCloudComputeLanguageModel OpenIntelligence/ (all uses gated by EntitlementChecker); bash scripts/build_simulator_smoke.sh; full xcodebuild test","Docs/PRIVACY_AND_ROUTING.md; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; CHANGELOG.md",always,high,high
pcc_routing_consent_change,PCC routing/consent,"OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift; OpenIntelligence/UI/Components/CloudConsentPromptView.swift; OpenIntelligence/Services/LLM/LLMService.swift","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 8; Docs/AuditArtifacts/ArchitectureAtlas/routing_touchpoints.csv; Docs/AuditArtifacts/FinalReview/final_unresolved_risks.csv (R06 R07)",none_without_named_approval,"all Tier 2 files in Docs/RepoOS/03_FORBIDDEN_EDIT_BOUNDARIES.md","manual deadlock test: background + App Intents execution with cloud routing enabled; full xcodebuild test","Docs/PRIVACY_AND_ROUTING.md; CHANGELOG.md",always,high,high
evidence_threads_change,chat persistence / Evidence Threads,"OpenIntelligence/Core/Models/EvidenceThread.swift; OpenIntelligence/Services/Storage/EvidenceThreadStore.swift; OpenIntelligence/Features/Chat/Conversation/ThreadSidebarView.swift","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 11; Docs/AgentPlaybooks/05_EVIDENCE_THREADS_IMPLEMENTATION_GUARDRAILS.md; Docs/AuditArtifacts/ArchitectureAtlas/evidence_threads_design_decision.md","OpenIntelligence/Core/Models/EvidenceThread.swift; OpenIntelligence/Services/Storage/EvidenceThreadStore.swift; OpenIntelligence/Features/Chat/Conversation/ThreadSidebarView.swift; OpenIntelligence/Features/Debug/EvidenceThread*","OpenIntelligence/Core/Models/ChatMessage.swift; OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift; OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift","JSON round-trip serialization check; quota gating check (5/20/unlimited); bash scripts/build_simulator_smoke.sh","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 15; CHANGELOG.md",always,high,high
icloud_sync_change,iCloud/workspace sync,"OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift; OpenIntelligence/Services/Infrastructure/Integration/ContainerService.swift; OpenIntelligence/Core/Models/KnowledgeContainer.swift","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 7; Docs/AuditArtifacts/ArchitectureAtlas/sync_touchpoints.csv",none_without_named_approval,"OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift sweep-guard and mtime-touch logic; any CloudKit introduction","grep -rn 'CKDatabase\|CKContainer' OpenIntelligence/ must stay empty; multi-device manual sync test; full xcodebuild test","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 9; CHANGELOG.md",always,high,high
storekit_billing_change,StoreKit / billing/entitlements,"OpenIntelligence/Services/Billing/**; OpenIntelligence/Features/Billing/**","Docs/BILLING_AND_LIMITS.md; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 9; Docs/AuditArtifacts/ArchitectureAtlas/billing_touchpoints.csv","OpenIntelligence/Features/Billing/** (UI only, with approval)","OpenIntelligence/Resources/StoreKit/StoreKitConfiguration.storekit; OpenIntelligence/Services/Billing/StoreKitBillingService.swift; OpenIntelligence/Services/Billing/EntitlementStore.swift; OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift","manual purchase/restore in OpenIntelligence-StoreKitTesting scheme; full xcodebuild test","Docs/BILLING_AND_LIMITS.md; CHANGELOG.md",always,high,high
app_intents_change,App Intents/Siri/Shortcuts,"OpenIntelligence/Services/Agentic/RAGAppIntents.swift; OpenIntelligence/Services/Agentic/Entities/**","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 10; Docs/AuditArtifacts/ArchitectureAtlas/app_intents_touchpoints.csv","intent phrase/copy tweaks only, with approval","adding shortcuts beyond the 10-slot limit (currently 9/10); wiring intents to PCC consent paths (risk R07)","count AppShortcut registrations in RAGAppIntents.swift (<=10); run Ask/Summarize/Search shortcuts manually; bash scripts/build_simulator_smoke.sh",CHANGELOG.md,always,high,high
ingestion_ocr_change,document import / OCR/extraction / ingestion queue,"OpenIntelligence/Services/Document/Processing/DocumentProcessor.swift; OpenIntelligence/Services/Document/**","Docs/INGESTION_PIPELINE.md; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md sections 16 and 18","OpenIntelligence/Services/Document/**; OpenIntelligenceTests/Services/Document/**","localCacheDir()/IngestionCheckpoints location contract; OpenIntelligence/Services/RAG/Orchestration/RAGService+Streaming.swift batching/FTS append contract","xcodebuild test -only-testing:OpenIntelligenceTests targets DocumentProcessorTests and SemanticChunkerTests; large PDF (>10MB) manual ingest; bash scripts/build_simulator_smoke.sh","Docs/INGESTION_PIPELINE.md; CHANGELOG.md",plan_approval_before_edit,medium,high
