doc_path,claim_text,verified_reality,status,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
Docs/PRIVACY_AND_ROUTING.md,All core operations... run entirely on the user's device,On-device by default; escalates to PCC for context overflows (>4K tokens) or Deep Think modes,stale,code_verified,exact,FoundationModelRoutePolicy.swift,view_file,Policy evaluation determines route and can escalate to PCC
Docs/PRIVACY_AND_ROUTING.md,PCC routes to Apple's secure Private Cloud Compute enclaves,PCC remote enclave execution is simulated locally on SystemLanguageModel.default via compatibility wrapper,stale,code_verified,exact,EngineSDKCompatibility.swift,view_file,PCC routes resolve to local compatibility wrappers
Docs/ARCHITECTURE.md,dense vectors are written into BNNSVectorDatabase,Vectors are memory-mapped using mmap for zero-copy access in BNNSVectorDatabase,verified,code_verified,exact,BNNSVectorDatabase.swift,view_file,Verified explicit use of mmap in database load methods
component_inventory.csv,Library databases are separate SQLite files for isolation,All containers share tables inside the local SQLite database using container_id column isolation,contradiction,code_verified,exact,SQLiteFullTextService.swift,view_file,Verified tables are shared and column-isolated
subsystem_map.md,Syncs workspace libraries across devices via CloudKit,"iCloud workspace sync uses iCloud Drive (Ubiquity) via NSFileCoordinator and NSMetadataQuery sweeps, not CloudKit",contradiction,code_verified,exact,WorkspaceSyncService.swift,view_file,Verified WorkspaceSyncService performs Drive-based sweeps
ChatMessage.swift,Comment: ChatV2 is in-memory only,Chat history is persistent and serialized to JSON files in the background,stale,code_verified,exact,ChatMessage.swift,view_file,Verified comment exists but contradicts actual JSON persistence code
Docs/ARCHITECTURE.md,"Standard mode uses 3B Core with 4,096-token context limit",Standard mode executes on SystemLanguageModel.default capped at 4K tokens,verified,code_verified,exact,FoundationModelRoutePolicy.swift,view_file,Verified token budget matches the default route policy
CHANGELOG.md,Shoutout to Tim for asking for this,Contains personal developer greeting,style_violation,doc_claim_only,exact,CHANGELOG.md,view_file,Violates solo-developer objective/passive communication rule
Docs/ARCHITECTURE.md,I designed the codebase to expose the entire RAG pipeline,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/ARCHITECTURE.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/PRIVACY_AND_ROUTING.md,I built OpenIntelligence as a local-first application,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/PRIVACY_AND_ROUTING.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/RETRIEVAL_PIPELINE.md,I built this app to bias responses toward groundedness,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/RETRIEVAL_PIPELINE.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/RETRIEVAL_PIPELINE.md,I designed the app so that a query is answered...,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/RETRIEVAL_PIPELINE.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/RETRIEVAL_PIPELINE.md,I included diagnostic and telemetry surfaces...,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/RETRIEVAL_PIPELINE.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/BILLING_AND_LIMITS.md,I define these StoreKit product IDs centrally...,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/BILLING_AND_LIMITS.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/BILLING_AND_LIMITS.md,I implemented a sticky paid-history protection...,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/BILLING_AND_LIMITS.md,view_file,Violates solo-developer pronoun rule (uses 'I')
Docs/INGESTION_PIPELINE.md,I use StructuredDocumentParser.swift to resolve...,Contains first-person pronoun references,style_violation,doc_claim_only,exact,Docs/INGESTION_PIPELINE.md,view_file,Violates solo-developer pronoun rule (uses 'I')
