caller_type,caller_function,caller_file,callee_type,callee_function,callee_file,call_type,confidence,notes,evidence_level,evidence_source,evidence_command_or_file,verification_notes
App,OpenIntelligenceApp,OpenIntelligenceApp.swift,Service,ContainerService,ContainerService.swift,inferred,medium,"App lifecycle loads state, triggering UI/chat updates.",code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,ContainerService,ContainerService.swift,View,ChatScreen.swift,ChatScreen.swift,inferred,medium,Container state load completes triggering chat screen UI preload,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
View,ContainerPicker,ContainerPicker.swift,Service,ContainerService,ContainerService.swift,binding,high,User toggles library picker updating shared container state,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,ContainerService,ContainerService.swift,Service,DocumentationCacheService,DocumentationCacheService.swift,notification,high,History loaded upon container change event,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
View,DocumentProcessor,DocumentProcessor.swift,Service,IngestionLiveActivityService,IngestionLiveActivityService.swift,async,high,Processing starts background live activity,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,IngestionLiveActivityService,IngestionLiveActivityService.swift,Service,LayoutAwareExtractor,LayoutAwareExtractor.swift,async,medium,Queue triggers layout extraction,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,LayoutAwareExtractor,LayoutAwareExtractor.swift,Service,SemanticChunker,SemanticChunker.swift,direct,high,Extracted text passed to semantic chunking engine,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,SemanticChunker,SemanticChunker.swift,Service,EmbeddingService,EmbeddingService.swift,async,high,Chunks batched for embedding vectorization,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,EmbeddingService,EmbeddingService.swift,Database,BNNSVectorDatabase,BNNSVectorDatabase.swift,direct,exact,Vector embeddings persisted to CoreML memory map (via VectorDatabase protocol),code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,EmbeddingService,EmbeddingService.swift,Database,SQLiteFullTextService,SQLiteFullTextService.swift,direct,high,Keywords persisted to FTS5 SQLite,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
