view_name,file_path,screen_area,state_variables,bindings,environment_objects,observed_objects,services_used,models_rendered,user_actions,functions_triggered,persistence_touched_indirectly,cloud_or_routing_touched_indirectly,billing_gates_shown,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
ContentView,OpenIntelligence/App/ContentView.swift,Main,"workspaceSyncService, containerService, ragService, settingsStore, modelResolutionService, onboardingStore, entitlementStore, selectedTab, previousScenePhase",,scenePhase,,"ChatScreen, RAGService, WorkspaceSyncService, ContainerService, BackgroundTaskService, SQLiteFullTextService, EntitlementStore, StoreKitBillingService, SettingsStore",,,"importSamplesIfNeeded, handleScenePhaseChange, refreshSharedWorkspaceIfNeeded, handleOpenURL",Yes,Yes,Yes,High,,code_verified,high,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Extracted View state properties
OpenIntelligenceApp,OpenIntelligence/App/OpenIntelligenceApp.swift,Main,,,,,BackgroundTaskService,,,"configureIngestionRuntimeBridge, configureQueryRuntimeBridge, registerBackgroundTasks",No,No,No,Low,,code_verified,high,OpenIntelligence/App/OpenIntelligenceApp.swift,scan_codebase.py,Extracted View state properties
InlineMarkdownText,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Extracted View state properties
MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,Main,,,,,,,,"headingView, bulletListView, numberedListView, blockQuoteView, tableView",No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Extracted View state properties
MarkdownText,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Extracted View state properties
CodeBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,Main,copied,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Extracted View state properties
PlanUpgradeSheet,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,Main,"purchasingProduct, alertMessage, isRefreshingProducts, isRestoring, selectedStoryIndex, showingTerms, showingPrivacy",,"entitlementStore, dismiss, openURL",,EntitlementStore,,Button Click,,Yes,No,Yes,High,,code_verified,high,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,scan_codebase.py,Extracted View state properties
BenefitRow,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,scan_codebase.py,Extracted View state properties
PrivacyPolicyView,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,Main,,,dismiss,,,,Button Click,section,Yes,Yes,Yes,High,,code_verified,high,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,scan_codebase.py,Extracted View state properties
TermsOfServiceView,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,Main,,,dismiss,,,,Button Click,section,Yes,No,No,Low,,code_verified,high,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,scan_codebase.py,Extracted View state properties
