path,total_lines,inspected_line_start,inspected_line_end,coverage_percent,inspection_method,relevant_symbols_found,evidence_threads_relevance,notes
.github/ISSUE_TEMPLATE/bug_report.md,35,1,35,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
.github/ISSUE_TEMPLATE/feature_request.md,20,1,20,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
.github/PULL_REQUEST_TEMPLATE.md,16,1,16,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/Fixtures/README.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/README.md,317,1,317,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/README.md,51,1,51,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/README.md,27,1,27,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md,10,1,10,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md,10,1,10,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md,10,1,10,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md,10,1,10,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md,10,1,10,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md,37,1,37,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md,37,1,37,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md,37,1,37,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md,5,1,5,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md,5,1,5,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
