subsystem,invariant,why_it_matters,code_evidence_path,docs_evidence_path,verification_command,failure_mode,risk_level
iCloud/workspace sync,Sync uses iCloud Drive Ubiquity (NSFileCoordinator/NSMetadataQuery) and never CloudKit databases,Docs and copy claiming CloudKit were a resolved hallucination; reintroducing CloudKit APIs breaks the audited sync model,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 3-4,"grep -rn 'CKDatabase\|CKContainer' OpenIntelligence/ --include=*.swift (expect empty)",Silent divergence between docs and code; broken multi-device sync assumptions,high
iCloud/workspace sync,Recently copied workspace files get mtime touched to now so the 15-minute sweep guard protects them before metadata registration completes,Prevents the deletion sweep from destroying freshly imported user documents,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift; OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 3,"grep -n 'modificationDate' OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift OpenIntelligence/Features/Documents/Components/DocumentPicker.swift",Imported documents deleted by background sweep = user data loss,high
SQLite/FTS storage,Relational metadata lives in ONE shared SQLite file with container_id column isolation (not per-library files) and is strictly local,Schema or isolation changes are destructive migrations affecting every existing user database,OpenIntelligence/Services/Storage/SQLiteFullTextService.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md sections 3 and 6,"grep -n 'container_id' OpenIntelligence/Services/Storage/SQLiteFullTextService.swift",Cross-container data leakage or corrupted metadata on migration,high
SQLite/FTS storage,FTS5 tokenizer behavior must match Swift-level unicode normalization exactly,Mismatch silently drops keyword search hits,OpenIntelligence/Services/Storage/SQLiteFullTextService.swift,Docs/AuditArtifacts/ArchitectureAtlas/subsystem_map.md (Sqlite/fts storage gaps),"xcodebuild test -only-testing:OpenIntelligenceTests/HybridSearchServiceTests",Keyword search returns incomplete results with no error,medium
vector storage,BNNSVectorDatabase is memory-mapped; on-disk vector format and dimensionality are frozen without an explicit re-index plan,Format change invalidates every user's existing vector index,OpenIntelligence/Services/VectorStore/BNNSVectorDatabase.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 6; Docs/AuditArtifacts/FinalReview/final_unresolved_risks.csv (R09),full xcodebuild test plus manual retrieval regression on an existing index,Existing libraries return zero/garbage results after update,high
embeddings,Provider fallback chain (Core AI on iOS 27+ -> Core ML -> NL) must remain intact; embedding dimension changes require full re-index,Stored vectors are only searchable against same-dimension same-provider embeddings,OpenIntelligence/Services/Embedding/Providers/CoreAISentenceEmbeddingProvider.swift; OpenIntelligence/Services/Embedding/AdaptiveEmbeddingOptimizer.swift,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 17,"grep -rn 'CoreMLSentenceEmbeddingProvider' OpenIntelligence/Services/Embedding/ (fallback path present); build smoke",Older devices lose embedding capability or new vectors mismatch stored index,high
embeddings,Tokenization uses Rust-backed swift-tokenizers with exact byte-level offsets (legacy BertTokenizer removed),Citation highlighting depends on exact byte offsets; regressing to approximate tokenizers breaks citation alignment,OpenIntelligence/Services/Embedding/Providers/CoreAISentenceEmbeddingProvider.swift; OpenIntelligence/Services/RAG/Orchestration/RAGEngine.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 3,"grep -rn 'swift-tokenizers\|Tokenizers' Package.swift Package.resolved",Citations highlight wrong text spans; user trust loss,medium
PCC routing/consent,PrivateCloudComputeLanguageModel is instantiated only behind the runtime EntitlementChecker gate,Instantiation without the com.apple.developer.private-cloud-compute entitlement causes a FATAL process crash,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift; OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 10,"grep -rn 'PrivateCloudComputeLanguageModel' OpenIntelligence/ (every use gated)",App crashes at launch/first query on unentitled builds,high
PCC routing/consent,The active .entitlements file intentionally OMITS the PCC entitlement until developer-account approval; runtime falls back to local SystemLanguageModel,Re-adding the entitlement breaks Xcode Cloud archive export signing,OpenIntelligence/OpenIntelligence.entitlements,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 3,"grep -c 'private-cloud-compute' OpenIntelligence/OpenIntelligence.entitlements (expect 0)",Archive/export signing failures in CI; blocked releases,high
PCC routing/consent,All cloud execution passes through FoundationModelRoutePolicy consent evaluation; background paths must not block on CloudConsentPromptView,Known deadlock class when background tasks or intents await UI consent,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift; OpenIntelligence/UI/Components/CloudConsentPromptView.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 8; final_unresolved_risks.csv (R06),manual test: trigger query via App Intent with cloud routing enabled and no prior consent,Retrieval pipeline hangs indefinitely in background contexts,high
billing/entitlements,Billing entitlements are stored in UserDefaults via EntitlementStore (NOT Keychain; Keychain is for API keys only),"Well-meaning 'security fix' to Keychain strands existing users' entitlement state",OpenIntelligence/Services/Billing/EntitlementStore.swift; OpenIntelligence/Core/Extensions/KeychainStorage.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 9; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 11,"grep -n 'UserDefaults' OpenIntelligence/Services/Billing/EntitlementStore.swift",Paying users lose Pro/Lifetime entitlements after update,high
billing/entitlements,Evidence Thread creation is quota-gated by tier: 5 Free / 20 Pro / Unlimited Lifetime via QuotaPolicy,Quota changes are revenue-affecting product decisions reserved to the user,OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 11,"grep -n '5\|20' OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift (tier limits present)",Free users get unlimited paid features or paid users get blocked,high
StoreKit,StoreKitConfiguration.storekit product definitions must match App Store Connect and are agent-frozen,Drift breaks purchase flows and quota resolution in production and sandbox,OpenIntelligence/Resources/StoreKit/StoreKitConfiguration.storekit,Docs/AgentPlaybooks/07_TASK_ROUTER_AND_CHANGE_CONTROL.md (prohibited scopes),"git diff --stat -- '*.storekit' (expect empty in any agent change)",Broken purchases; App Review rejection,high
App Intents/Siri/Shortcuts,App Shortcut registrations must stay at or below 10 (currently 9 of 10 slots used),Exceeding the OS limit causes SILENT registration failure of all shortcuts,OpenIntelligence/Services/Agentic/RAGAppIntents.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 10; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md section 12,count AppShortcut entries in RAGAppIntents.swift,All Siri/Shortcuts integration silently disappears,high
chat persistence,ChatMessage model shape is frozen; messages persist as monolithic JSON arrays; EvidenceThread wraps ChatMessage arrays immutably,Any Codable shape change silently breaks or loses existing chat histories and thread files,OpenIntelligence/Core/Models/ChatMessage.swift; OpenIntelligence/Services/Storage/EvidenceThreadStore.swift,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md sections 6 and 11,round-trip decode of an existing persisted chat JSON fixture after any model edit,Users lose conversation history on update,high
