service_name,file_path,responsibility,state_owned,public_methods,important_private_methods,dependencies,downstream_callers,reads_from,writes_to,touches_userdefaults,touches_keychain,touches_files,touches_icloud,touches_network_or_cloud,app_intent_reachable,background_reachable,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
KnowledgeRetrievalEngine,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,Handles KnowledgeRetrievalEngine processes,,,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Extracted methods and state from protocol
DocumentIngestionEngine,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,Handles DocumentIngestionEngine processes,,,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Extracted methods and state from protocol
SpotlightIndexService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,Handles SpotlightIndex processes,,"deindexContainer, indexDocument, deindexDocument, deindexAllDocuments, indexChunk, indexDocumentChunks",indexContainer,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Extracted methods and state from class
TranscriptPersistenceService,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,Handles TranscriptPersistence processes,,"saveTranscriptTrimmed, loadTranscript, deleteTranscript, hasTranscript",saveTranscript,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Extracted methods and state from class
CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,Handles Camera processes,,captureOutput,performFrameAnalysis,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Extracted methods and state from extension
CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,Handles Camera processes,,photoOutput,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Extracted methods and state from extension
CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,Handles Camera processes,,"createHumanPose, createAnimalPose, formatClassificationLabel, categorizeLabel",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Extracted methods and state from extension
LiveAnalysisService,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,Handles LiveAnalysis processes,,"analyzeFrame, analyzeImage",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,scan_codebase.py,Extracted methods and state from actor
SmartCaptureManager,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Handles SmartCapture processes,,captureOutput,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted methods and state from extension
SmartCaptureManager,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Handles SmartCapture processes,,photoOutput,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted methods and state from extension
Coordinator,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Handles  processes,,picker,,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted methods and state from class
Coordinator,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Handles  processes,,"imagePickerController, imagePickerControllerDidCancel",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted methods and state from class
Coordinator,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Handles  processes,,"documentPicker, documentPickerWasCancelled",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted methods and state from class
AppReviewPromptPolicy,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Handles AppReviewPromptPolicy processes,,,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted methods and state from enum
PipelineTraceExporter,OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift,Handles PipelineTraceExporter processes,,"buildTrace, exportToFile","trustedLegacySectionPath, trustedLegacySectionLabel, sanitizedPreviewContent",ChatMessage,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift,scan_codebase.py,Extracted methods and state from enum
Coordinator,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,Handles  processes,,"documentPicker, documentPickerWasCancelled",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,scan_codebase.py,Extracted methods and state from class
PreviewBillingService,OpenIntelligence/Features/Documents/Library/DocumentLibraryView.swift,Handles PreviewBilling processes,,"refreshProducts, purchase, restorePurchases",,"ContainerService, EntitlementStore",,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Documents/Library/DocumentLibraryView.swift,scan_codebase.py,Extracted methods and state from class
SampleDocumentManager,OpenIntelligence/Features/Documents/Library/SampleDocumentManager.swift,Handles SampleDocument processes,,"importSamples, writeSamplesToDocumentsDirectory",,RAGService,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Features/Documents/Library/SampleDocumentManager.swift,scan_codebase.py,Extracted methods and state from class
Coordinator,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,Handles  processes,,"handleTap, renderer, updateLabelLOD",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Extracted methods and state from class
Coordinator,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,Handles  processes,,"handleClick, renderer, updateLabelLOD",,,,,,Yes,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,scan_codebase.py,Extracted methods and state from class
OIEngine,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,Handles OIEngine processes,,"listLibraries, createLibrary, deleteLibrary, listDocuments, removeDocument, clearLibrary, cancelActiveQuery, ingest, ingest, query",availability,"RAGService, ContainerService",,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/SDK/OpenIntelligenceEngine.swift,scan_codebase.py,Extracted methods and state from class
FoundationModelRoutePolicy,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift,Handles FoundationModelRoutePolicy processes,,determineRoute,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift,scan_codebase.py,Extracted methods and state from struct
FoundationModelSessionFactory,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,Handles FoundationModelSessionFactory processes,,createSession,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelSessionFactory.swift,scan_codebase.py,Extracted methods and state from struct
FoundationModelTokenBudget,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelTokenBudget.swift,Handles FoundationModelTokenBudget processes,,"contextSize, tokenBudget, conservativeCharsPerToken, estimateTokens, estimateTokens, estimateTokensForCharCount, estimateTranscriptTokens",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelTokenBudget.swift,scan_codebase.py,Extracted methods and state from struct
AgenticOrchestrator,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Handles AgenticOrchestrator processes,,"makeDetailedEventForwarder, execute, logStepTokens, checkLexicalRelevance, evaluateRetrievalQuality, queryBenefitsFromDecomposition, queryRequiresExhaustiveAnswer, reformulateQuery, executeDirectSynthesis, executeComprehensiveSynthesis",,RAGService,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Extracted methods and state from class
AgenticOrchestrator,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Handles AgenticOrchestrator processes,,"executeReasoningChain, initializeWithQuery, decomposeQuery, scoreRelevance, addFacts, extractFactsFromInsight, normalizedFactKey, noveltyScore, supportTerms, evidenceKind","updateSubQuestionCoverage, compressIntelligently","RAGService, LLMService",,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Extracted methods and state from extension
RAGService,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Handles RAG processes,,"executeStandardReasoningChain, generateWithFreshSession, generateWithProperConsent",,,,,,No,No,No,No,No,Yes,Yes,Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Extracted methods and state from extension
ConversationMemoryService,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,Handles ConversationMemory processes,,"configure, memory, addTurn, relevanceScore, rankTurnsByRelevance, contextInjection, pronounResolutionContext, clearMemory, scheduleDebouncedSave, flushPendingSaves",adaptiveBudget,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,scan_codebase.py,Extracted methods and state from class
ResponseTransformService,OpenIntelligence/Services/Agentic/ResponseTransformService.swift,Handles ResponseTransform processes,,keyFacts,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Agentic/ResponseTransformService.swift,scan_codebase.py,Extracted methods and state from class
WritingToolsService,OpenIntelligence/Services/Agentic/WritingToolsService.swift,Handles WritingTools processes,,"proofread, rewrite, summarize, makeConcise, simplify, makeActionable, summarizeContext, clarifyQuery, generate",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Agentic/WritingToolsService.swift,scan_codebase.py,Extracted methods and state from class
WritingToolsService,OpenIntelligence/Services/Agentic/WritingToolsService.swift,Handles WritingTools processes,,"proofread, rewrite, summarize, makeConcise, simplify, makeActionable, summarizeContext, clarifyQuery",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Agentic/WritingToolsService.swift,scan_codebase.py,Extracted methods and state from class
BillingService,OpenIntelligence/Services/Billing/BillingService.swift,Handles Billing processes,,,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Billing/BillingService.swift,scan_codebase.py,Extracted methods and state from protocol
MaximumModeAccessPolicy,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,Handles MaximumModeAccessPolicy processes,,,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,scan_codebase.py,Extracted methods and state from enum
StoreKitBillingService,OpenIntelligence/Services/Billing/StoreKitBillingService.swift,Handles StoreKitBilling processes,,"refreshProducts, purchase, restorePurchases, handlePurchaseResult, listenForTransactions, checkVerified, emitBilling, makeStoreKitDiagnostics, formatDiagnostics",,,,,,No,No,No,No,No,No,No,High,,code_verified,high,OpenIntelligence/Services/Billing/StoreKitBillingService.swift,scan_codebase.py,Extracted methods and state from class
DocumentSummaryService,OpenIntelligence/Services/Document/Analysis/DocumentSummaryService.swift,Handles DocumentSummary processes,,"setRAGService, generateDocumentSummary, buildRepresentativeText, generateSummaryViaLLM, generateSummaryWithFoundationModels, enforceWordLimit, extractiveFallback, extractKeywords, extractEntitiesFromSummary",,"RAGService, EmbeddingService, LLMService",,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/DocumentSummaryService.swift,scan_codebase.py,Extracted methods and state from actor
EntityIndexService,OpenIntelligence/Services/Document/Analysis/EntityIndexService.swift,Handles EntityIndex processes,,"indexChunk, indexChunks, chunksForEntity, chunksForEntities, chunksForEntity, chunksForEntities, filterByContainer, sharedEntities, entitiesForChunk, topEntities","encodeSnapshot, decodeSnapshot","RAGService, SemanticChunker, AgenticOrchestrator",,Disk,Disk,No,No,Yes,No,Yes,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Analysis/EntityIndexService.swift,scan_codebase.py,Extracted methods and state from actor
SpeechAnalyzerService,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,Handles SpeechAnalyzer processes,,"analysisToDocument, formatDuration",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,scan_codebase.py,Extracted methods and state from extension
ContentTaggingService,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,Handles ContentTagging processes,,"setupModel, generateTags, generateTagsWithTimeout, generateTagsForDocument, nlTaggerFallbackTags",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,scan_codebase.py,Extracted methods and state from class
ContentTaggingService,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,Handles ContentTagging processes,,"generateTags, generateTagsForDocument",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,scan_codebase.py,Extracted methods and state from class
SemanticChunker,OpenIntelligence/Services/Document/Chunking/SemanticChunker.swift,Handles SemanticChunker processes,,"diagnostics, tokenWordCount, estimateSentenceCount, averageSentenceLength, detectLanguage, languageHypotheses, recommended, chunkText, chunkTextAsync, chunkTextWithBoundaries",,"RAGService, EmbeddingService",,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Chunking/SemanticChunker.swift,scan_codebase.py,Extracted methods and state from class
ImageUnderstandingService,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,Handles ImageUnderstanding processes,,"classifyImageModern, classifyImageLegacy, extractTextFromImage, findSurroundingContext, findAssociatedCaption, generateImageDescription, analyzeDocumentImages, analyzeOneImage, generateAIDescription, buildImageDescriptionPrompt","classifyImage, materializedCGImage",DocumentProcessor,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Extracted methods and state from class
ImageDescriptionService,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,Handles ImageDescription processes,,"describeImage, describeImage, analyzeImage",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Extracted methods and state from class
YOLODetectionService,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,Handles YOLODetection processes,,"loadModel, detectObjects, detectObjects, detectObjects, detectWithYOLO, detectWithYOLO, performYOLORequest, detectWithVisionFallback, detectWithVisionFallback, performVisionFallback",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,scan_codebase.py,Extracted methods and state from actor
YOLODetectionService,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,Handles YOLODetection processes,,"describeObjects, categorizeObjects, categoryFor",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,scan_codebase.py,Extracted methods and state from extension
AudioTranscriptionService,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,Handles AudioTranscription processes,,"transcriptionToDocument, formatDuration",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,scan_codebase.py,Extracted methods and state from extension
GazetteerService,OpenIntelligence/Services/Document/Extraction/GazetteerService.swift,Handles Gazetteer processes,,"addTerms, extractAndAddTerms, compileGazetteer, getGazetteer, recognizeEntities, matchingTerms, termCounts, removeTerms, saveToDisk, loadFromDisk",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Extraction/GazetteerService.swift,scan_codebase.py,Extracted methods and state from actor
LanguageDetectionService,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,Handles LanguageDetection processes,,"analyzeDocument, detectText, extractSamples, isEmbeddingSupported, bestEmbeddingLanguage",detectQueryLanguage,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,scan_codebase.py,Extracted methods and state from class
DocumentProcessor,OpenIntelligence/Services/Document/Processing/DocumentProcessor+DocumentIngestionEngine.swift,Handles DocumentProcessor processes,,ingestDocument,,,,,,No,No,No,No,No,Yes,Yes,Low,,code_verified,high,OpenIntelligence/Services/Document/Processing/DocumentProcessor+DocumentIngestionEngine.swift,scan_codebase.py,Extracted methods and state from extension
DocumentProcessor,OpenIntelligence/Services/Document/Processing/DocumentProcessor.swift,Handles DocumentProcessor processes,,"preprocessImageForOCR, traceIngestionDecision, traceIngestionOutcome, shouldForceVisionForAdaptiveRecovery, shouldPreferHighResolutionStructure, loadTokenizer, emitProgress, incrementMetric, resetLiveMetrics, processDocument","preferredOCRRenderScale, detectStructuredElementsInPageText, inferredStructuredElementsForPDFPageText, structuredElementMetrics, preferredElementsWithLayoutTables, promotedLayoutTableElements, inferredHeaderRow, tableQualityScore, tableQualityScore, tableRowQualityScore","RAGService, LayoutAwareExtractor, SemanticChunker, SQLiteFullTextService",,Disk,Disk,No,No,Yes,No,No,Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/Document/Processing/DocumentProcessor.swift,scan_codebase.py,Extracted methods and state from class
LayoutAwareExtractor,OpenIntelligence/Services/Document/Processing/LayoutAwareExtractor.swift,Handles LayoutAwareExtractor processes,,"extractWithLayout, extractWithLayout, recognizeTextBlocks, extractBlocksFromPDFPage, detectColumns, detectAndSeparateTables, flushRow, buildReadingOrderText, assignedColumnIndex, horizontalOverlapWidth",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Document/Processing/LayoutAwareExtractor.swift,scan_codebase.py,Extracted methods and state from actor
LayoutAwareExtractor,OpenIntelligence/Services/Document/Processing/LayoutAwareExtractor.swift,Handles LayoutAwareExtractor processes,,extractForRAG,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Processing/LayoutAwareExtractor.swift,scan_codebase.py,Extracted methods and state from extension
VisualCaptioningService,OpenIntelligence/Services/Document/Processing/VisualCaptioningService.swift,Handles VisualCaptioning processes,,,generateCaption,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Document/Processing/VisualCaptioningService.swift,scan_codebase.py,Extracted methods and state from actor
