path,extension,file_type,line_count,size_bytes,checksum,category,inspected,reason_if_not,relevance,source_of_truth_candidate,stale_risk,notes
.github/ISSUE_TEMPLATE/bug_report.md,.md,text/human-readable,35,745,20f86a361c793f9b56743eba937b4b351ed2e6ecf4af7c8379cc017a1d8a9853,other,yes,,unknown,no,low,Scanned file under other.
.github/ISSUE_TEMPLATE/feature_request.md,.md,text/human-readable,20,611,382f70119e1f715ecf0b701c78addc3fd5fa79a9e24fa8fc380da05d98827a23,other,yes,,unknown,no,low,Scanned file under other.
.github/PULL_REQUEST_TEMPLATE.md,.md,text/human-readable,16,443,027040c047f72e72f4a37714e794a16a3108ef79512d1125e27a669c08933bea,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/Fixtures/README.md,.md,text/human-readable,7,338,e245892113a99635ada63416370adb88e3d12384800f9afb786fd5e4d812127e,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/README.md,.md,text/human-readable,317,11026,bcb0ab426d502c5dd38b5df62168e57b1c188fce562ebcbe386d2738cff58958,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/README.md,.md,text/human-readable,51,2083,fcd985560747c767f7e09250b25cbb81e5bcda8969bf370e590730a32676bf15,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/README.md,.md,text/human-readable,27,690,e8567a72bc153e17b5bd767e0253f8a2a0db29ae816ea6e86811aab0a98027dc,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md,.md,text/human-readable,10,326,3f95a30ac2739f09f032c53d8c281cc02ff6807b5004bf0744c762aebb6ceed4,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md,.md,text/human-readable,10,330,887f36c9ae60b10dc99e445c51412a607f6fe709c8e70fc0d4e8f0fb1ec7b7bc,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md,.md,text/human-readable,10,336,717d0f108cb0039d0cd4acc01b0a27a17b41cde233b86b2954138bd21d895ba6,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md,.md,text/human-readable,10,333,9c3597d67c0b74fb05ecfcdb3bddd4bca9a4f30e554272ea69ed274fa103379a,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md,.md,text/human-readable,10,333,124077ac77743739e9a76c1bc0d8643d0572c1d4864eff56227db8e8ea613838,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md,.md,text/human-readable,37,1763,fb980c48dd51eb88e4b308f7fd3e0df985d5c00a83ba51d932c22a6eb031be3a,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md,.md,text/human-readable,37,1757,b20e63321737198ae23567a50dfd72a62348e22e4c7e8a2f0b780ad2af255d82,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md,.md,text/human-readable,37,1760,9c528247d769ccd91cff38da6bfcb8841eecb396ef98acab27e7a98e9d65ad2b,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md,.md,text/human-readable,5,242,617c77792713d074ccbde00f5410384cee8ea12f7b284800501f1c30a1ec7e9d,other,yes,,unknown,no,low,Scanned file under other.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md,.md,text/human-readable,5,242,617c77792713d074ccbde00f5410384cee8ea12f7b284800501f1c30a1ec7e9d,other,yes,,unknown,no,low,Scanned file under other.
