path,extension,line_count,category,relevance,stale_risk,source_of_truth_candidate,notes
.github/ISSUE_TEMPLATE/bug_report.md,.md,35,docs,medium,medium,no,
.github/ISSUE_TEMPLATE/feature_request.md,.md,20,docs,medium,medium,no,
.github/PULL_REQUEST_TEMPLATE.md,.md,16,docs,medium,medium,no,
Benchmarks/Fixtures/README.md,.md,7,docs,high,high,yes,
Benchmarks/README.md,.md,317,docs,high,high,yes,
Benchmarks/ResearchFixtures/README.md,.md,51,docs,high,high,yes,
Benchmarks/ResearchFixtures/tiny_research_suite/README.md,.md,27,docs,high,high,yes,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md,.md,10,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md,.md,10,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md,.md,10,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md,.md,10,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md,.md,10,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md,.md,37,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md,.md,37,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md,.md,37,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md,.md,5,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md,.md,5,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_a.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_b.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_a.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_b.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_a.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_b.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_a.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_b.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_5_part_a.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_5_part_b.md,.md,4,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_alpha.md,.md,7,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_beta.md,.md,7,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_delta.md,.md,7,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_epsilon.md,.md,7,docs,medium,medium,no,
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_gamma.md,.md,7,docs,medium,medium,no,
CHANGELOG.md,.md,198,docs,medium,low,no,
Docs/ARCHITECTURE.md,.md,134,docs,high,high,yes,
Docs/AppleIntelligenceTransitionPlan.md,.md,181,docs,medium,medium,no,
Docs/AuditArtifacts/,,0,docs,medium,medium,no,
Docs/BILLING_AND_LIMITS.md,.md,49,docs,medium,medium,no,
Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,.md,129,docs,medium,medium,no,
Docs/DEMO.md,.md,36,docs,medium,medium,no,
Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md,.md,93,docs,high,low,no,
Docs/EVALS.md,.md,72,docs,medium,medium,no,
Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,.md,1737,docs,medium,medium,no,
Docs/Engineering/APPLE_FM_TECH_REPORT_2025.md,.md,385,docs,medium,medium,no,
Docs/Engineering/APPLE_MODELS.md,.md,663,docs,medium,medium,no,
Docs/Engineering/HARD_LIMITS.md,.md,123,docs,medium,medium,no,
Docs/Engineering/PRIVATE_CLOUD_COMPUTE.md,.md,94,docs,medium,medium,no,
Docs/Engineering/RAG_TECHNICAL.md,.md,645,docs,medium,medium,no,
Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,.md,183,docs,medium,medium,no,
Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,.md,479,docs,high,low,no,
Docs/FULL_REPO_EVIDENCE_THREADS_AUDIT_VERIFICATION.md,.md,251,docs,high,low,no,
Docs/FULL_REPO_LINE_BY_LINE_AUDIT.md,.md,372,docs,high,low,no,
Docs/INGESTION_PIPELINE.md,.md,63,docs,medium,medium,no,
Docs/LIMITATIONS.md,.md,32,docs,medium,medium,no,
Docs/PRIVACY_AND_ROUTING.md,.md,50,docs,medium,medium,no,
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT.md,.md,85,docs,high,low,no,
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,.md,82,docs,high,low,no,
Docs/RELEASE_NOTES.md,.md,182,docs,medium,medium,no,
Docs/RETRIEVAL_PIPELINE.md,.md,61,docs,medium,medium,no,
Docs/ROADMAP.md,.md,29,docs,medium,medium,no,
Docs/Research/APPLE_INTELLIGENCE_AND_FOUNDATION_MODELS.md,.md,50,docs,medium,medium,no,
Docs/Research/CAG_AND_CONTEXT_ENGINEERING_2024_2026.md,.md,56,docs,medium,medium,no,
Docs/Research/COREML_METAL_ON_DEVICE_AI.md,.md,40,docs,medium,medium,no,
Docs/Research/DOCUMENT_INTELLIGENCE_AND_OCR.md,.md,37,docs,medium,medium,no,
Docs/Research/RAG_AND_RETRIEVAL_2024_2026.md,.md,62,docs,medium,medium,no,
Docs/Research/README.md,.md,25,docs,high,high,yes,
Docs/TestDocuments/README.md,.md,39,docs,high,high,yes,
Docs/TestDocuments/sample_1page.txt,.txt,23,docs,medium,medium,no,
Docs/TestDocuments/sample_empty.txt,.txt,0,docs,medium,medium,no,
Docs/TestDocuments/sample_special_chars.txt,.txt,27,docs,medium,medium,no,
Docs/TestDocuments/sample_technical.md,.md,59,docs,medium,medium,no,
Docs/TestDocuments/sample_unicode.txt,.txt,51,docs,medium,medium,no,
Docs/TestDocuments/sample_whitespace.txt,.txt,45,docs,medium,medium,no,
Docs/USER_CHANGELOG.md,.md,121,docs,medium,medium,no,
HOW_IT_WORKS.md,.md,45,docs,medium,medium,no,
LICENSE,LICENSE,21,docs,medium,medium,no,
OpenIntelligence/Core/Support/test_write.txt,.txt,1,docs,medium,medium,no,
PRIVACY.md,.md,45,docs,medium,medium,no,
README.md,.md,136,docs,high,high,yes,
THIRD_PARTY_NOTICES.md,.md,15,docs,medium,medium,no,
WHATS_NEW.md,.md,187,docs,medium,low,no,
Xrays/pipeline-xray/data/demo-traces/deep-think-brake-comparison.txt,.txt,256,docs,medium,medium,no,
Xrays/pipeline-xray/data/demo-traces/standard-oil-query.txt,.txt,143,docs,medium,medium,no,
fastlane/README.md,.md,56,docs,high,high,yes,
fastlane/metadata/en-US/release_notes.txt,.txt,9,docs,medium,medium,no,
