entity_name,entity_kind,file_path,approximate_line_range,category,architecture_relevance,inspected,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
ContentView,struct,OpenIntelligence/App/ContentView.swift,12-373,View,Low,Yes,code_verified,exact,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Swift struct parser match
Tab,enum,OpenIntelligence/App/ContentView.swift,61-63,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Swift enum parser match
ScreenshotMode,struct,OpenIntelligence/App/ContentView.swift,375-403,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Swift struct parser match
DebugRAGValidationHarness,enum,OpenIntelligence/App/DebugRAGValidationHarness.swift,4-479,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Swift enum parser match
RunGate,class,OpenIntelligence/App/DebugRAGValidationHarness.swift,5-16,Unknown,Medium,Yes,code_verified,exact,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Swift class parser match
Configuration,struct,OpenIntelligence/App/DebugRAGValidationHarness.swift,18-27,Model,Low,Yes,code_verified,exact,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Swift struct parser match
OpenIntelligenceApp,struct,OpenIntelligence/App/OpenIntelligenceApp.swift,16-188,View,Low,Yes,code_verified,exact,OpenIntelligence/App/OpenIntelligenceApp.swift,scan_codebase.py,Swift struct parser match
KeychainStorage,enum,OpenIntelligence/Core/Extensions/KeychainStorage.swift,6-58,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/KeychainStorage.swift,scan_codebase.py,Swift enum parser match
LaunchArguments,enum,OpenIntelligence/Core/Extensions/LaunchArguments.swift,5-40,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/LaunchArguments.swift,scan_codebase.py,Swift enum parser match
MarkdownBlock,enum,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,21-45,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift enum parser match
MarkdownTableAlignment,enum,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,47-51,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift enum parser match
InlineMarkdownText,struct,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,342-366,View,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift struct parser match
MarkdownBlockView,struct,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,371-568,View,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift struct parser match
MarkdownText,struct,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,572-613,View,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift struct parser match
CodeBlockView,struct,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,616-659,View,Low,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Swift struct parser match
NetworkMonitor,class,OpenIntelligence/Core/Extensions/NetworkMonitor.swift,12-29,ViewModel,High,Yes,code_verified,exact,OpenIntelligence/Core/Extensions/NetworkMonitor.swift,scan_codebase.py,Swift class parser match
ChatMessage,struct,OpenIntelligence/Core/Models/ChatMessage.swift,10-157,Model,High,Yes,code_verified,exact,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Swift struct parser match
Role,enum,OpenIntelligence/Core/Models/ChatMessage.swift,79-83,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Swift enum parser match
CodingKeys,enum,OpenIntelligence/Core/Models/ChatMessage.swift,86-90,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Swift enum parser match
CloudProvider,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,3-18,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Swift enum parser match
CloudConsentState,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,20-32,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Swift enum parser match
CloudConsentDecision,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,34-38,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Swift enum parser match
CloudTransmissionRecord,struct,OpenIntelligence/Core/Models/CloudTransmission.swift,40-72,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Swift struct parser match
DocumentChunk,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,12-51,Model,High,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
ChunkAbstractionLevel,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,58-84,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
DocumentSemanticCategory,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,88-103,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
ChunkSemanticType,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,106-112,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
ChunkMetadata,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,115-427,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,293-325,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
Document,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,430-532,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,458-470,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
ProcessingMetadata,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,535-566,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
ChunkStatistics,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,568-572,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
DocumentType,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,574-631,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift enum parser match
ProcessingSummary,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,634-679,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
ChunkStatistics,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,674-678,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Swift struct parser match
EvidenceSource,enum,OpenIntelligence/Core/Models/EvidenceSource.swift,13-18,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/EvidenceSource.swift,scan_codebase.py,Swift enum parser match
IngestionStage,enum,OpenIntelligence/Core/Models/IngestionItem.swift,3-96,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift enum parser match
