function_name,parent_type,file_path,approximate_line_range,visibility,async,throws,primary_purpose,inputs,outputs,calls_known,called_by_known,reads_files,writes_files,touches_userdefaults,touches_keychain,touches_icloud,touches_pcc_or_cloud,touches_storekit,background_sensitive,app_lifecycle_sensitive,relevance,risk_level,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
importSamplesIfNeeded,ContentView,OpenIntelligence/App/ContentView.swift,253-260,internal,Yes,No,Method of ContentView,,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Method signatures extracted from ContentView
handleScenePhaseChange,ContentView,OpenIntelligence/App/ContentView.swift,268-323,internal,No,No,Method of ContentView,"from oldPhase: ScenePhase, to newPhase: ScenePhase",,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Method signatures extracted from ContentView
refreshSharedWorkspaceIfNeeded,ContentView,OpenIntelligence/App/ContentView.swift,326-348,internal,Yes,No,Method of ContentView,forceReload: Bool = false,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Method signatures extracted from ContentView
handleOpenURL,ContentView,OpenIntelligence/App/ContentView.swift,351-372,internal,No,No,Method of ContentView,_ url: URL,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/ContentView.swift,scan_codebase.py,Method signatures extracted from ContentView
claim,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,9-15,private,No,No,Method of DebugRAGValidationHarness,,Bool,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
configureStorageIfNeeded,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,36-41,internal,No,No,Method of DebugRAGValidationHarness,,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
runHeadlessIfNeeded,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,43-59,internal,No,No,Method of DebugRAGValidationHarness,,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
runIfNeeded,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,61-142,internal,Yes,No,Method of DebugRAGValidationHarness,"
        ragService: RAGService,
        settingsStore: SettingsStore
    ",,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
buildReport,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,144-241,internal,No,No,Method of DebugRAGValidationHarness,"
        configuration: Configuration,
        containerId: UUID,
        containerName: String,
        ingestionResult: IngestionBatchResult?,
        response: RAGResponse,
        auditSnapshot: RAGAuditSnapshot?,
        copiedTraceURL: URL?
    ",String,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
formatChunkPreview,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,243-255,internal,No,No,Method of DebugRAGValidationHarness,"for chunk: RetrievedChunk, limit: Int = 220",String,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
buildErrorReport,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,257-290,internal,No,No,Method of DebugRAGValidationHarness,"
        configuration: Configuration,
        error: Error,
        copiedTraceURL: URL?
    ",String,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
copyTraceLog,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,292-308,internal,No,No,Method of DebugRAGValidationHarness,into outputDirectory: URL,URL?,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
makeConfiguration,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,310-353,internal,No,No,Method of DebugRAGValidationHarness,,Configuration?,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
seedPCCConsentIfNeeded,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,355-369,internal,No,No,Method of DebugRAGValidationHarness,_ consent: String?,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
seedBenchmarkEntitlementIfNeeded,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,371-383,internal,No,No,Method of DebugRAGValidationHarness,_ tier: WorkspaceTier?,,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
