component_id,component_name,subsystem,owning_files,main_entities,entry_points,depends_on,used_by,reads_from,writes_to,sync_boundary,cloud_boundary,billing_boundary,app_intent_boundary,risk_level,relevant_docs,notes,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
ContentView,ContentView,iCloud/workspace sync,OpenIntelligence/App/ContentView.swift,"ContentView, Tab, ScreenshotMode","importSamplesIfNeeded, handleScenePhaseChange, refreshSharedWorkspaceIfNeeded, handleOpenURL","iCloud Drive Ubiquity, ContainerService",library/container management,iCloud Drive Ubiquity / SQLite,iCloud Drive Ubiquity / SQLite,yes,no,yes,no,high,Docs/AppleIntelligenceTransitionPlan.md,iCloud Drive Ubiquity/iCloud database synchronization,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DebugRAGValidationHarness,DebugRAGValidationHarness,generation,OpenIntelligence/App/DebugRAGValidationHarness.swift,"DebugRAGValidationHarness, RunGate, Configuration","claim, configureStorageIfNeeded, runHeadlessIfNeeded, runIfNeeded, buildReport",,,,,no,yes,yes,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OpenIntelligenceApp,OpenIntelligenceApp,app lifecycle,OpenIntelligence/App/OpenIntelligenceApp.swift,OpenIntelligenceApp,"configureIngestionRuntimeBridge, configureQueryRuntimeBridge, registerBackgroundTasks",,,,,no,no,no,no,low,README.md,Application lifecycle bootstrap,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
KeychainStorage,KeychainStorage,retrieval,OpenIntelligence/Core/Extensions/KeychainStorage.swift,KeychainStorage,"setString, string, removeValue",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,RAG orchestrator and general retriever services,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
LaunchArguments,LaunchArguments,retrieval,OpenIntelligence/Core/Extensions/LaunchArguments.swift,LaunchArguments,"has, value, value, valueEither",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
MarkdownRenderer,MarkdownRenderer,generation,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,"MarkdownBlock, MarkdownTableAlignment, MarkdownParser, InlineMarkdownText, MarkdownBlockView, MarkdownText, CodeBlockView, Example","normalizeInlineMarkdown, parse, isBulletLine, stripBullet, isNumberedLine",,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NetworkMonitor,NetworkMonitor,diagnostics/telemetry,OpenIntelligence/Core/Extensions/NetworkMonitor.swift,NetworkMonitor,,,,,,no,yes,no,no,low,Docs/EVALS.md,Monitors pipeline performance and hardware usage,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ChatMessage,ChatMessage,chat UI,OpenIntelligence/Core/Models/ChatMessage.swift,"ChatMessage, Role, CodingKeys","sanitizedForPersistence, sanitizedRetrievedChunks, truncated",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CloudTransmission,CloudTransmission,retrieval,OpenIntelligence/Core/Models/CloudTransmission.swift,"CloudProvider, CloudConsentState, CloudConsentDecision, CloudTransmissionRecord",,,,,,no,yes,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentChunk,DocumentChunk,semantic chunking,OpenIntelligence/Core/Models/DocumentChunk.swift,"DocumentChunk, ChunkAbstractionLevel, DocumentSemanticCategory, ChunkSemanticType, ChunkMetadata, CodingKeys, Document, CodingKeys, ProcessingMetadata, ChunkStatistics, DocumentType, ProcessingSummary, ChunkStatistics","encode, encode",,,,,no,no,no,no,low,Docs/INGESTION_PIPELINE.md,Splits text blocks using semantic density,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EvidenceSource,EvidenceSource,citations/source rendering,OpenIntelligence/Core/Models/EvidenceSource.swift,EvidenceSource,,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
IngestionItem,IngestionItem,retrieval,OpenIntelligence/Core/Models/IngestionItem.swift,"IngestionStage, IngestionEvent, PipelineMetrics, IngestionItem, CodingKeys, IngestionBatchResult","encode, hasActiveLease, isLeased, claimLease, clearLease",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
IngestionRuntimeBridge,IngestionRuntimeBridge,retrieval,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,IngestionRuntimeBridge,"configureContinuedIngestion, beginUserInitiatedIngestion, updateContinuedIngestionProgress, completeUserInitiatedIngestion, beginForegroundFallbackIngestion",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
KnowledgeContainer,KnowledgeContainer,iCloud/workspace sync,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"VectorDBKind, LibrarySyncMode, KnowledgeContainer, CodingKeys, RetrievalConfig, ChunkingDirective, Source, AppSupportPaths","encode, highAccuracy, isCloseTo, recommended, configureBaseDir","iCloud Drive Ubiquity, ContainerService",library/container management,iCloud Drive Ubiquity / SQLite,iCloud Drive Ubiquity / SQLite,yes,no,no,no,high,Docs/AppleIntelligenceTransitionPlan.md,iCloud Drive Ubiquity/iCloud database synchronization,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
LLMModel,LLMModel,PCC routing/consent,OpenIntelligence/Core/Models/LLMModel.swift,"LLMModel, ModelType, InferencePathway, InferenceConfig, PCCSettings, FoundationModelPreference, ExecutionContext",,"AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,no,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
LLMModelType,LLMModelType,generation,OpenIntelligence/Core/Models/LLMModelType.swift,"LLMModelType, ModelCapabilityCardInfo, ModelCapabilityChipInfo, Tone, ModelCapabilityStatInfo, Accent","isDeprecatedRawValue, migrate",,,,,no,yes,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ModelResolutionState,ModelResolutionState,generation,OpenIntelligence/Core/Models/ModelResolutionState.swift,"ModelResolutionState, ResolutionReason, ExecutionPath, ModelStatus, LocalModelInfo, ModelBackendType, ActiveParameters, ModelBackend, ModelAutoSelectionPayload",,,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
QueryRuntimeBridge,QueryRuntimeBridge,retrieval,OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,QueryRuntimeBridge,"configureContinuedQuery, beginUserInitiatedQuery, updateContinuedQueryProgress, completeUserInitiatedQuery, beginForegroundFallbackQueryExtensionIfNeeded",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
