flow_id,flow_name,trigger,source_component,destination_component,data_object,transformations,persisted,persistence_location,sync_behavior,cloud_behavior,failure_modes,relevant_files,relevant_symbols,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
F01,first launch,App Start,OpenIntelligenceApp.swift,ContainerService.swift,Initial Config,None,No,N/A,N/A,N/A,Fails to initialize,OpenIntelligenceApp.swift,OpenIntelligenceApp,N/A,inferred,medium,App Lifecycle Map,phase_3_component_summary.md,Conceptual linkage
F02,onboarding,First Launch,OnboardingChecklistLauncher.swift,OnboardingStateStore.swift,Completion Flag,None,Yes,UserDefaults,N/A,N/A,Onboarding loop,OnboardingStateStore.swift,OnboardingStateStore,N/A,code_verified,exact,OnboardingStateStore.swift,grep_search,Bound to @AppStorage or UserDefaults
F03,library creation,User Action,ContainerPicker.swift,ContainerService.swift,KnowledgeContainer,UUID allocation,Yes,SQLite/UserDefaults,Synced,CloudKit Push,Creation fails,ContainerService.swift,KnowledgeContainer,N/A,code_verified,high,ContainerService.swift,grep_search,Persisted in container state
F04,document import,User Action / Intents,DocumentProcessor.swift,IngestionLiveActivityService.swift,Document URL,File copy,Yes,ImportedDocuments / Temp,Local Only initially,None,Storage Full,KnowledgeContainer.swift,ImportedDocuments,N/A,code_verified,exact,KnowledgeContainer.swift,grep_search,Copies to baseDir/ImportedDocuments
F05,ingestion resume,BGTask,BackgroundTaskService.swift,DocumentProcessor.swift,Ingestion Queue State,None,Yes,SQLite,N/A,N/A,Timeout,BackgroundTaskService.swift,BackgroundTaskService,N/A,artifact_derived,high,call_relationships.csv,phase_4,BGTaskScheduler restores processing
F06,OCR extraction,Document Ingest,LayoutAwareExtractor.swift,SemanticChunker.swift,Extracted Text / Layout,Image to Text,No,Memory / Temp files,N/A,N/A,Vision Error,LayoutAwareExtractor.swift,LayoutAwareExtractor,N/A,artifact_derived,high,call_relationships.csv,phase_4,Extracts blocks and routes to chunker
F07,embedding/indexing,Chunking Complete,EmbeddingService.swift,VectorDatabase.swift,Vectors,Text to Vector,Yes,Application Support / BNNS,N/A,None,OOM,EmbeddingService.swift,EmbeddingService,N/A,code_verified,exact,EmbeddingService.swift,grep_search,Calls vector store via protocol
F08,query answering,User input,ChatComposerV2.swift,RAGService.swift,User Query,Tokenization,No,Memory,N/A,PCC Escalate possible,Timeout,RAGService.swift,RAGService,RETRIEVAL_PIPELINE.md,code_verified,exact,RAGService.swift,grep_search,Main orchestrator
F09,cited response rendering,Generator yields,VerificationGateService.swift,GroundedAnswerView.swift,StructuredAnswer,Validation to UI,No,Memory,N/A,None,Hallucination blocked,VerificationGateService.swift,VerificationGateService,N/A,artifact_derived,high,call_relationships.csv,phase_4,Validated answer passed to UI
F10,chat persistence,Thread complete,RAGService.swift,DocumentationCacheService.swift,ChatMessage,JSON / CoreData,Yes,Application Support,Unknown,N/A,Disk full,DocumentationCacheService.swift,DocumentationCacheService,N/A,artifact_derived,high,call_relationships.csv,phase_4,Saves history asynchronously
F11,container switching,User Action,ContainerPicker.swift,ContainerService.swift,Container ID,None,Yes,UserDefaults,N/A,N/A,Invalid ID,ContainerService.swift,ContainerService,N/A,artifact_derived,high,call_relationships.csv,phase_4,Updates active library
F12,app relaunch restoration,App Start,OpenIntelligenceApp.swift,ContainerService.swift,Active State,None,Yes,UserDefaults,N/A,N/A,State lost,OpenIntelligenceApp.swift,OpenIntelligenceApp,N/A,inferred,medium,Knowledge of SwiftUI,manual_analysis,SwiftUI app lifecycle state restoration
F13,iCloud sync,BGTask / Timer,WorkspaceSyncService.swift,iCloud,Workspace Metadata,Delta diff,Yes,iCloud / Local,Bidirectional,Ubiquity Sync,Conflict,WorkspaceSyncService.swift,WorkspaceSyncService,N/A,code_verified,exact,WorkspaceSyncService.swift,grep_search,Performs synchronization using NSUbiquityIdentityDidChange
F14,PCC consent,Model Route,LLMService.swift,CloudConsentPromptView.swift,Consent State,None,Yes,System Dialog,N/A,N/A,Deadlock,LLMService.swift,LLMService,PRIVACY_AND_ROUTING.md,code_verified,exact,LLMService.swift,grep_search,Catches consent errors and triggers system dialog
F15,StoreKit purchase,User Action,PlanUpgradeSheet.swift,EntitlementStore.swift,Receipt,Validation,Yes,UserDefaults,N/A,App Store verification,Network err,EntitlementStore.swift,EntitlementStore,BILLING_AND_LIMITS.md,code_verified,exact,EntitlementStore.swift,grep_search,Initiates IAP and stores in UserDefaults
F16,quota enforcement,RAGService,RAGService.swift,EntitlementStore.swift,Usage Counter,Increment,Yes,UserDefaults,N/A,N/A,Limit hit,RAGService.swift,RAGService,BILLING_AND_LIMITS.md,code_verified,exact,call_relationships.csv,phase_4,Upgraded to exact/code_verified via Phase 2 Recovery delta repair.
F17,App Intent query,Siri / Shortcuts,RAGAppIntents.swift,RAGService.swift,Intent Payload,Intent to Query,No,Memory,N/A,PCC Possible,Timeout / Deadlock,RAGAppIntents.swift,QueryDocumentsIntent,PRIVACY_AND_ROUTING.md,code_verified,exact,RAGAppIntents.swift,grep_search,Direct entry point via Siri
F18,diagnostics/export,User Action,DeveloperDiagnosticsHubView.swift,BackendHealthDiagnosticsView.swift,Trace Log,Export formatting,Yes,Temp files,N/A,None,File err,BackendHealthDiagnosticsView.swift,BackendHealthDiagnosticsView,N/A,artifact_derived,high,call_relationships.csv,phase_4,Generates diagnostic traces
