model_name,file_path,conforms_to,persisted,codable,sendable,identifiable,storage_location_if_persisted,owner_service,used_by,important_fields,schema_or_migration_risk,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
Configuration,OpenIntelligence/App/DebugRAGValidationHarness.swift,Sendable,No,No,Yes,No,,,,"query: String, inputURLs: [URL], storageDirectory: URL, outputDirectory: URL, qualityMode: RAGQualityMode?, shouldIngest: Bool, pccConsent: String?, benchmarkEntitlement: WorkspaceTier?",Low,,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Parsed model schema
MarkdownBlock,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,Identifiable,No,No,No,Yes,,,,id: String,Low,,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Parsed model schema
ChatMessage,OpenIntelligence/Core/Models/ChatMessage.swift,"Identifiable, Codable, Sendable",Yes,Yes,Yes,Yes,SQLite / AppGroup Storage,,,"id: UUID, role: Role, content: String, timestamp: Date, metadata: ResponseMetadata?, retrievedChunks: [RetrievedChunk]?, structuredAnswer: StructuredAnswer?, containerId: UUID?, visualEvidence: VisualEvidenceSource?, traceQuery: String?",High,,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Parsed model schema
Role,OpenIntelligence/Core/Models/ChatMessage.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/ChatMessage.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Parsed model schema
CloudProvider,OpenIntelligence/Core/Models/CloudTransmission.swift,"String, Codable, CaseIterable, Sendable",No,Yes,Yes,No,,,,"displayName: String, shortName: String",Low,,code_verified,high,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Parsed model schema
CloudConsentState,OpenIntelligence/Core/Models/CloudTransmission.swift,"String, Codable, CaseIterable, Sendable",No,Yes,Yes,No,,,,displayName: String,Low,,code_verified,high,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Parsed model schema
CloudConsentDecision,OpenIntelligence/Core/Models/CloudTransmission.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Parsed model schema
CloudTransmissionRecord,OpenIntelligence/Core/Models/CloudTransmission.swift,"Identifiable, Equatable, Sendable",No,No,Yes,Yes,,,,"id: UUID, provider: CloudProvider, modelName: String, timestamp: Date, promptPreview: String, promptCharacterCount: Int, contextChunkCount: Int, contextHashes: [String], estimatedBytes: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/CloudTransmission.swift,scan_codebase.py,Parsed model schema
DocumentChunk,OpenIntelligence/Core/Models/DocumentChunk.swift,"Identifiable, Codable, Sendable",Yes,Yes,Yes,Yes,SQLite / AppGroup Storage,,,"id: UUID, documentId: UUID, content: String, parentContent: String?, contextualPrefix: String?, embedding: [Float], metadata: ChunkMetadata, text: String",Medium,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ChunkAbstractionLevel,OpenIntelligence/Core/Models/DocumentChunk.swift,"Int, Codable, Sendable, CaseIterable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
DocumentSemanticCategory,OpenIntelligence/Core/Models/DocumentChunk.swift,"String, Codable, Sendable, CaseIterable",No,Yes,Yes,No,,,,isSpecificationHeavy: Bool,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ChunkSemanticType,OpenIntelligence/Core/Models/DocumentChunk.swift,"String, Codable, Sendable, CaseIterable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ChunkMetadata,OpenIntelligence/Core/Models/DocumentChunk.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"chunkIndex: Int, startPosition: Int, endPosition: Int, pageNumber: Int?, sectionTitle: String?, keywords: [String], semanticDensity: Float?, hasNumericData: Bool, hasListStructure: Bool, wordCount: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/DocumentChunk.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
Document,OpenIntelligence/Core/Models/DocumentChunk.swift,"Identifiable, Codable, Equatable, Sendable",No,Yes,Yes,Yes,,,,"id: UUID, filename: String, legacyFileURL: URL?, storageRelativePath: String?, fileHash: String?, contentType: DocumentType, addedAt: Date, totalChunks: Int, processingMetadata: ProcessingMetadata?, containerId: UUID?",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/DocumentChunk.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
