claim_id,source_doc,line_range,exact_or_paraphrased_claim,category,claim_type,claimed_status,verification_status,source_code_evidence_paths,source_code_symbols,conflicting_docs,final_disposition,notes
CLM-001,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,176-179,ChatV2 is persisted to disk inside chat_history_[containerId].json via RAGService.swift.,storage,storage,shipped,verified by code,OpenIntelligence/Services/RAG/Orchestration/RAGService.swift,persistChatHistory(_:for:); saveChatHistory(_:for:),OpenIntelligence/Core/Models/ChatMessage.swift (line 37 comment),canonical,Verified that RAGService encodes messages and saves them atomically via coordinatedWriteData.
CLM-002,OpenIntelligence/Core/Models/ChatMessage.swift,37,"ChatV2 currently stores messages in-memory only (not persisted), so safety UG/ GenAI compliance is lightweight.",storage,storage,shipped,contradicted by code,OpenIntelligence/Services/RAG/Orchestration/RAGService.swift; OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,persistChatHistory(for:); saveChatHistory(_:for:),Docs/FULL_REPO_LINE_BY_LINE_AUDIT.md; Docs/AuditArtifacts/Verification/canonical_decision_register.csv,deprecated,The code comment is stale; ChatV2 is fully persistent.
CLM-003,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,376-378,Evidence Threads will be written locally to baseDir()/threads/ and remain local-only in Phase 1.,sync,sync,planned,contradicted by code,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift,localContents migration sweep loop,Docs/FULL_REPO_LINE_BY_LINE_AUDIT.md,unsafe,WorkspaceSyncService copies all unknown subdirectories in baseDir() to the iCloud shared container. Placing threads under baseDir()/threads/ would sync them. Threads must be stored in LocalCache/.
CLM-004,Docs/PRIVACY_AND_ROUTING.md,13-17,OpenIntelligence runs 100% locally; no user documents or credentials ever leave the device.,privacy,privacy,shipped,contradicted by code,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift; OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,determineRoute; PrivateCloudComputeLanguageModel,Docs/Engineering/PRIVATE_CLOUD_COMPUTE.md; Docs/Engineering/HARD_LIMITS.md,unsafe,The app escalates queries exceeding 4K tokens or under Deep Think / Maximum modes to Apple's Private Cloud Compute (PCC) enclaves. Marketing claims must use local-first routing wording.
CLM-005,Docs/Engineering/HARD_LIMITS.md,26-28,"Local-first defaults are restricted to 4,096 tokens; standard queries that overflow this ceiling escalate to PCC with up to 32K tokens.",routing/PCC,routing/PCC,shipped,verified by code,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelRoutePolicy.swift; OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,onDeviceLimit = 4096; contextSize = 32768,Docs/Engineering/APPLE_FM_TECH_REPORT_2025.md (claims on-device Apple FM size is 8K),canonical,"Routing policy hardcodes onDeviceLimit to 4096, which is more conservative than the 8192 context size defined in FoundationModelTokenBudget.swift."
CLM-006,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,275-276,Selecting 'Always Allow' persists the value '.allowed' to UserDefaults key 'applePCCConsent'.,routing/PCC,routing/PCC,shipped,partially supported,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,"Keys.applePCCConsent = ""cloudConsent.applePCC""",Docs/AuditArtifacts/routing_map.csv,revise later,"The key is cloudConsent.applePCC in code, not applePCCConsent. The value allowed is indeed persisted."
CLM-007,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,331-332,"iOS and macOS enforce a strict limit of 10 App Shortcuts registered via AppShortcutsProvider. The app has 9 shortcuts, leaving 1 slot.",App Intents,App Intents,shipped,verified by code,OpenIntelligence/Services/Agentic/RAGAppIntents.swift,RAGAppShortcutsProvider.appShortcuts,None,canonical,Verified exactly 9 shortcuts are returned in appShortcuts array. Adding one thread shortcut would hit the system cap of 10.
CLM-008,Docs/BILLING_AND_LIMITS.md,15-20,"Pricing tiers are Monthly ($5.99), Annual ($49.99), and Lifetime ($59.99), plus a Document Pack add-on ($2.99).",billing,billing,shipped,verified by code,OpenIntelligence/Resources/StoreKit/StoreKitConfiguration.storekit; OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,proMonthly; proAnnual; lifetimeCohort; documentPackAddOn,None,canonical,Verified prices in StoreKit configuration match UI fallbacks exactly.
CLM-009,README.md,42-45,OpenIntelligence Pro features unlimited document uploads and shared iCloud syncing.,quota,unsupported marketing claim,shipped,contradicted by code,OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift,proDocumentLimit = 1000,Docs/BILLING_AND_LIMITS.md,unsafe,"The Pro plan has a hard quota cap of 1,000 documents. Only the Lifetime plan supports unlimited documents (Int.max)."
CLM-010,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,113,Vector files are synced via iCloud; SQLite tables are local-only and rebuilt locally upon synchronization.,sync,sync,shipped,verified by code,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift; OpenIntelligence/Services/Storage/SQLiteFullTextService.swift,mergeVectorStoresIfNeeded; SQLiteFullTextService rebuild,None,canonical,"Verified that local SQLite is excluded from sweeps and reconstructed from processed text chunks, while BNNSVector database is copied."
