channel_type,source_file,source_symbol,destination_file,destination_symbol,key_or_notification_name,data_passed,risk_level,notes,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
NotificationCenter notifications,ContentView.swift,NotificationCenter.post,Multiple,Subscribers,NSNotification,Notification payload,MEDIUM,Broadcasts system-wide notification,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(retrievalTopK),Global,UserDefaults,retrievalTopK,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmTemperature),Global,UserDefaults,llmTemperature,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmMaxTokens),Global,UserDefaults,llmMaxTokens,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmTopP),Global,UserDefaults,llmTopP,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmFrequencyPenalty),Global,UserDefaults,llmFrequencyPenalty,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmPresencePenalty),Global,UserDefaults,llmPresencePenalty,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmRepetitionPenalty),Global,UserDefaults,llmRepetitionPenalty,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmSystemPrompt),Global,UserDefaults,llmSystemPrompt,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,@AppStorage(llmContextLength),Global,UserDefaults,llmContextLength,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ChatScreen.swift,UserDefaults.standard,Global,UserDefaults,appReview.lastPromptedVersion,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ThinkingStreamView.swift,@AppStorage(thinkingViewAutoCollapse),Global,UserDefaults,thinkingViewAutoCollapse,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
