symbol_name,symbol_kind,path,line_range,module_category,relevance,inspected,notes
ContentView,struct,OpenIntelligence/App/ContentView.swift,11-21,UI,indirect,yes,Scanned type definition for ContentView
Tab,enum,OpenIntelligence/App/ContentView.swift,60-70,lifecycle,indirect,yes,Scanned type definition for Tab
DebugRAGValidationHarness,enum,OpenIntelligence/App/DebugRAGValidationHarness.swift,3-13,RAG,indirect,yes,Scanned type definition for DebugRAGValidationHarness
Configuration,struct,OpenIntelligence/App/DebugRAGValidationHarness.swift,17-27,RAG,indirect,yes,Scanned type definition for Configuration
OpenIntelligenceApp,struct,OpenIntelligence/App/OpenIntelligenceApp.swift,16-26,lifecycle,indirect,yes,Scanned type definition for OpenIntelligenceApp
KeychainStorage,enum,OpenIntelligence/Core/Extensions/KeychainStorage.swift,6-16,persistence,direct,yes,Scanned type definition for KeychainStorage
LaunchArguments,enum,OpenIntelligence/Core/Extensions/LaunchArguments.swift,5-15,model,indirect,yes,Scanned type definition for LaunchArguments
Example,struct,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,771-781,model,indirect,yes,Scanned type definition for Example
ChatMessage,struct,OpenIntelligence/Core/Models/ChatMessage.swift,9-19,chat,direct,yes,Scanned type definition for ChatMessage
Role,enum,OpenIntelligence/Core/Models/ChatMessage.swift,78-88,chat,direct,yes,Scanned type definition for Role
CodingKeys,enum,OpenIntelligence/Core/Models/ChatMessage.swift,86-96,chat,direct,yes,Scanned type definition for CodingKeys
CloudProvider,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,2-12,routing,direct,yes,Scanned type definition for CloudProvider
CloudConsentState,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,19-29,routing,direct,yes,Scanned type definition for CloudConsentState
CloudConsentDecision,enum,OpenIntelligence/Core/Models/CloudTransmission.swift,33-43,routing,direct,yes,Scanned type definition for CloudConsentDecision
CloudTransmissionRecord,struct,OpenIntelligence/Core/Models/CloudTransmission.swift,39-49,routing,direct,yes,Scanned type definition for CloudTransmissionRecord
DocumentChunk,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,12-22,model,direct,yes,Scanned type definition for DocumentChunk
ChunkAbstractionLevel,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,58-68,model,direct,yes,Scanned type definition for ChunkAbstractionLevel
DocumentSemanticCategory,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,88-98,model,direct,yes,Scanned type definition for DocumentSemanticCategory
ChunkSemanticType,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,106-116,model,direct,yes,Scanned type definition for ChunkSemanticType
ChunkMetadata,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,115-125,model,direct,yes,Scanned type definition for ChunkMetadata
Document,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,430-440,model,direct,yes,Scanned type definition for Document
ProcessingMetadata,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,535-545,ingestion,direct,yes,Scanned type definition for ProcessingMetadata
ChunkStatistics,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,567-577,model,direct,yes,Scanned type definition for ChunkStatistics
DocumentType,enum,OpenIntelligence/Core/Models/DocumentChunk.swift,573-583,model,direct,yes,Scanned type definition for DocumentType
ProcessingSummary,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,634-644,ingestion,direct,yes,Scanned type definition for ProcessingSummary
ChunkStatistics,struct,OpenIntelligence/Core/Models/DocumentChunk.swift,673-683,model,direct,yes,Scanned type definition for ChunkStatistics
EvidenceSource,enum,OpenIntelligence/Core/Models/EvidenceSource.swift,13-23,citation,direct,yes,Scanned type definition for EvidenceSource
IngestionStage,enum,OpenIntelligence/Core/Models/IngestionItem.swift,2-12,ingestion,direct,yes,Scanned type definition for IngestionStage
IngestionEvent,struct,OpenIntelligence/Core/Models/IngestionItem.swift,99-109,ingestion,direct,yes,Scanned type definition for IngestionEvent
PipelineMetrics,struct,OpenIntelligence/Core/Models/IngestionItem.swift,116-126,ingestion,direct,yes,Scanned type definition for PipelineMetrics
IngestionItem,struct,OpenIntelligence/Core/Models/IngestionItem.swift,194-204,ingestion,direct,yes,Scanned type definition for IngestionItem
IngestionBatchResult,struct,OpenIntelligence/Core/Models/IngestionItem.swift,353-363,ingestion,direct,yes,Scanned type definition for IngestionBatchResult
VectorDBKind,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,10-20,model,direct,yes,Scanned type definition for VectorDBKind
LibrarySyncMode,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,16-26,sync,direct,yes,Scanned type definition for LibrarySyncMode
KnowledgeContainer,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,39-49,model,direct,yes,Scanned type definition for KnowledgeContainer
RetrievalConfig,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,218-228,model,direct,yes,Scanned type definition for RetrievalConfig
