path,type,size_bytes,target_membership,primary_symbols,status,reference_count,referenced_by,public_relevance,deletion_risk,reorg_candidate,notes
.gitattributes,Unknown / Other,578,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,Repository asset: .gitattributes classified as RESOURCE_ONLY.
.github/ISSUE_TEMPLATE/bug_report.md,Markdown Document,745,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,High,High,,Documentation markdown file detailing repository features or architecture: .github/ISSUE_TEMPLATE/bug_report.md.
.github/ISSUE_TEMPLATE/feature_request.md,Markdown Document,611,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,High,High,,Documentation markdown file detailing repository features or architecture: .github/ISSUE_TEMPLATE/feature_request.md.
.github/PULL_REQUEST_TEMPLATE.md,Markdown Document,443,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,High,High,,Documentation markdown file detailing repository features or architecture: .github/PULL_REQUEST_TEMPLATE.md.
.github/assets/openintelligence-app-icon.png,Resource / Asset,933221,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/openintelligence-social-preview.png,Resource / Asset,731338,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/screenshots/openintelligence-answer-inspection.png,Resource / Asset,458156,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/screenshots/openintelligence-cited-answer.png,Resource / Asset,438692,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/screenshots/openintelligence-ingestion-pipeline.png,Resource / Asset,1161973,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/screenshots/openintelligence-library.png,Resource / Asset,297543,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/assets/screenshots/openintelligence-onboarding.png,Resource / Asset,1135241,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,"Asset or resource used by UI, tests, or build targets."
.github/workflows/ci.yml,YAML Config,1268,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,Repository asset: .github/workflows/ci.yml classified as RESOURCE_ONLY.
.github/workflows/release.yml,YAML Config,960,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,Repository asset: .github/workflows/release.yml classified as RESOURCE_ONLY.
.gitignore,Unknown / Other,3158,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,Repository asset: .gitignore classified as RESOURCE_ONLY.
.swift-format,Unknown / Other,2339,NONE / NOT_MEMBERED,,RESOURCE_ONLY,0,,Low,High,,Repository asset: .swift-format classified as RESOURCE_ONLY.
Benchmarks/Fixtures/README.md,Markdown Document,338,TEST_ONLY,,RESOURCE_ONLY,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/Fixtures/README.md.
Benchmarks/README.md,Markdown Document,11026,TEST_ONLY,,RESOURCE_ONLY,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/README.md.
Benchmarks/ResearchFixtures/README.md,Markdown Document,2083,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/README.md.
Benchmarks/ResearchFixtures/tiny_research_suite/README.md,Markdown Document,690,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/README.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md,Markdown Document,326,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/battery_limits.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md,Markdown Document,330,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/equipment_table.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md,Markdown Document,336,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/finance_cash_flow.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md,Markdown Document,333,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/service_schedule.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md,Markdown Document,333,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/exact/vehicle_specs.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md,Markdown Document,1763,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_beginning.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md,Markdown Document,1757,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_end.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md,Markdown Document,1760,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/lost_in_middle/answer_at_middle.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md,Markdown Document,242,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_battery_policy.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md,Markdown Document,242,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/missing/missing_price_policy.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_a.md,Markdown Document,159,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_a.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_b.md,Markdown Document,158,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_b.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_a.md,Markdown Document,159,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_a.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_b.md,Markdown Document,158,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_b.md.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_a.md,Markdown Document,159,TEST_ONLY,,HISTORICAL_DOC,0,,High,High,,Documentation markdown file detailing repository features or architecture: Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_a.md.
