path,current_purpose,recommended_disposition,reason,stale_claims,contradictions,overgeneralized_sections,canonical_replacement,merge_target_if_any,archive_reason_if_any,delete_candidate_reason_if_any,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes,post_phase_9b_state
AGENTS.md,Define universal instruction and guardrails for autonomous agents.,KEEP,Active top-level instructions. Matches repo governance.,None,None,None,None,None,None,None,code_verified,exact,AGENTS.md,view_file,Verified file contents conform to active repo regulations.,Cleaned
GEMINI.md,Define Gemini / Antigravity specific IDE instructions.,KEEP,Active top-level instructions.,None,None,None,None,None,None,None,code_verified,exact,GEMINI.md,view_file,Verified file contents are currently in use by the IDE.,Cleaned
README.md,Repository README and overview.,UPDATE,Stale references to outdated architecture and pronoun/subjective tone rules.,Mentions legacy chat limits and has personal styling comments.,None,Outdated setup guides.,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,None,None,None,doc_claim_only,exact,README.md,view_file,Stylistic violations detected.,Cleaned
CHANGELOG.md,General repository changelog.,UPDATE,Contains personal comments and informal language violating objective tone rules (CON15).,None,CON15 style violation ('Shoutout to Tim...'),None,None,None,None,None,doc_claim_only,exact,CHANGELOG.md,view_file,Style correction is required.,Cleaned
HOW_IT_WORKS.md,Explain product workflow at a high level.,UPDATE,Needs alignment with the canonical source of truth and actual SQLite table structures.,None,Claims CloudKit sync conceptually and isolated databases.,Workflow preparation steps.,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,None,None,None,doc_claim_only,exact,HOW_IT_WORKS.md,view_file,Align with WorkspaceSyncService and shared tables reality.,Cleaned
PRIVACY.md,User privacy disclosure and policies.,UPDATE,Needs updating to reflect local simulation of PCC and actual storage mechanisms.,Claims 100% active PCC enclaves.,PCC remote execution vs local simulation.,Model pathways.,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,None,None,None,doc_claim_only,exact,PRIVACY.md,view_file,Update to mention EngineSDKCompatibility and local fallback.,Cleaned
THIRD_PARTY_NOTICES.md,Document third-party open-source licensing.,KEEP,"Standard licensing notice, purely factual.",None,None,None,None,None,None,None,doc_claim_only,exact,THIRD_PARTY_NOTICES.md,view_file,No actions needed.,Cleaned
WHATS_NEW.md,Factual summary of release additions.,KEEP,"Valid historical release record, avoids subjective pronouns.",None,None,None,None,None,None,None,doc_claim_only,exact,WHATS_NEW.md,view_file,No actions needed.,Cleaned
Docs/ARCHITECTURE.md,Main architectural overview.,SUPERSEDE,"Contains pronouns and major contradictions (e.g. CloudKit, isolated database files, active remote PCC enclaves).",Zero-knowledge CloudKit database.,"CON07, CON02.",RAG pipeline execution logic.,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,None,Replaced entirely by the Phase 8 Architecture Atlas.,None,artifact_derived,exact,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,view_file,Verified superseded by Phase 8 Canonical Control System.,Cleaned
Docs/AppleIntelligenceTransitionPlan.md,Planning for WWDC26 Apple Intelligence modernization.,UPDATE,"Needs header indicating it is a planning/roadmap document, and verification that native Core AI on-device embeddings are currently disabled.",Active Core AI embeddings (behind false flag).,None,Integration milestones.,None,None,None,None,code_verified,exact,EmbeddingService.swift,grep_search,Verify Core AI embedding provider is currently compiled out.,Cleaned
Docs/BILLING_AND_LIMITS.md,Document StoreKit billing and entitlement limits.,UPDATE,"Stale claims about Keychain usage (code uses UserDefaults) and pronoun violations (CON12, CON13).",Sticky paid-history protection details.,Keychain limits vs UserDefaults limits.,None,None,None,None,None,code_verified,exact,EntitlementStore.swift,view_file,EntitlementStore relies on UserDefaults for limits.,Cleaned
Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,Top-level canonical ground truth for the repository.,KEEP,Phase 8 master control document.,None,None,None,None,None,None,None,code_verified,exact,Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,view_file,Active ground truth.,Cleaned
Docs/DEMO.md,Standard demo walkthrough outline.,KEEP,Correctly marked as historical reference context already.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/DEMO.md,view_file,Factual walkthrough.,Cleaned
Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md,Summary of documentation consistency discrepancies.,KEEP,Active audit artifact from Phase 8.,None,None,None,None,None,None,None,artifact_derived,exact,Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md,view_file,Active control audit.,Cleaned
Docs/EVALS.md,Define RAG evaluation metrics and execution commands.,KEEP,"Factual framework spec, clean from pronouns.",None,None,None,None,None,None,None,doc_claim_only,exact,Docs/EVALS.md,view_file,Correctly details active evaluations system.,Cleaned
Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,Large-scale architectural feasibility audit.,ARCHIVE,"Historical audit file, should be marked as historical evidence.",None,None,None,None,None,"Completed audit file, kept as historical evidence.",None,artifact_derived,exact,Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,view_file,Purely historical audit.,Cleaned
Docs/FULL_REPO_EVIDENCE_THREADS_AUDIT_VERIFICATION.md,Large-scale verification checklist output.,ARCHIVE,Historical audit verification file.,None,None,None,None,None,"Completed verification log, kept as historical evidence.",None,artifact_derived,exact,Docs/FULL_REPO_EVIDENCE_THREADS_AUDIT_VERIFICATION.md,view_file,Historical log.,Cleaned
Docs/FULL_REPO_LINE_BY_LINE_AUDIT.md,Line-by-line file counts and static verification audit.,ARCHIVE,Historical line count inventory audit.,None,None,None,None,None,"Completed static analysis record, kept as historical evidence.",None,artifact_derived,exact,Docs/FULL_REPO_LINE_BY_LINE_AUDIT.md,view_file,Historical audit.,Cleaned
