viewmodel_or_store_name,file_path,views_using_it,state_owned,actions_exposed,services_called,persistence_touched,async_tasks,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
NetworkMonitor,OpenIntelligence/Core/Extensions/NetworkMonitor.swift,,,,,No,Yes,Low,,code_verified,high,OpenIntelligence/Core/Extensions/NetworkMonitor.swift,scan_codebase.py,Extracted VM properties and actions
EntitlementStore,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,,,"canAddDocument, refreshTransientState, consumeMaximumModeUseIfNeeded, currentEffectiveTier, currentLibraryLimit",,Yes,No,High,,code_verified,high,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Extracted VM properties and actions
CameraManager,OpenIntelligence/Features/Camera/CameraManager.swift,,,"configureSession, startSession, stopSession, setFlash, captureFullAnalysis, captureDocumentStructure, analyzeFrame, analyzeCapture, generateImageDescription",,No,Yes,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraManager.swift,scan_codebase.py,Extracted VM properties and actions
SmartCaptureManager,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,,"detectedMode, documentBounds, isStable, livePreview","configureSession, start, stop, capture, analyzeFrame, checkStability, performFullAnalysis, generateDescription, formatLabel, categorize",,No,Yes,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted VM properties and actions
ContinuedQueryCoordinator,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,,,"begin, markEmbedding, markSearching, markGenerating, markFirstToken, handleScenePhaseChange, complete, cancelCurrentQuery, reportProgress, awaitTrackedQueryCompletion",,No,Yes,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted VM properties and actions
ToastManager,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,,,"show, dismiss, clearAll",,No,Yes,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,scan_codebase.py,Extracted VM properties and actions
OnboardingStateStore,OpenIntelligence/Features/Onboarding/OnboardingStateStore.swift,,isChecklistVisible,"markOnboardingCompleted, skipPermanently, markSamplesImported, markAskedFirstQuery, markModelSelectionAcknowledged, refreshChecklistVisibilityIfNeeded, dismissChecklist, resetAllOnboarding, evaluateCompletion",,Yes,No,Medium,,code_verified,high,OpenIntelligence/Features/Onboarding/OnboardingStateStore.swift,scan_codebase.py,Extracted VM properties and actions
KeyboardHeightObserver,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,,"keyboardHeight, isKeyboardVisible","keyboardWillShow, keyboardWillHide",,No,No,Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,scan_codebase.py,Extracted VM properties and actions
KeyboardHeightObserver,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,,"keyboardHeight, isKeyboardVisible",,,No,No,Low,,code_verified,high,OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,scan_codebase.py,Extracted VM properties and actions
FoundationModelTranscriptStore,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelTranscriptStore.swift,,,"estimateTranscriptTokens, trimTranscript",FoundationModelTokenBudget,No,No,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelTranscriptStore.swift,scan_codebase.py,Extracted VM properties and actions
