artifact_path,artifact_type,phase_or_source,current_purpose,recommended_retention,reason,superseded_by,required_for_future_agents,required_for_implementation,risk_if_deleted,confidence,notes
Docs/AuditArtifacts/ArchitectureAtlas/repo_inventory.csv,CSV,Phase 1,List of tracked files,KEEP_EVIDENCE,Ground truth,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/document_inventory.csv,CSV,Phase 1,List of docs,KEEP_EVIDENCE,Ground truth,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/config_inventory.csv,CSV,Phase 1,List of configs,KEEP_EVIDENCE,Ground truth,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/swift_entity_inventory.csv,CSV,Phase 2,Swift entities,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/service_inventory.csv,CSV,Phase 2,Services,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/view_inventory.csv,CSV,Phase 2,Views,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/viewmodel_inventory.csv,CSV,Phase 2,ViewModels,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/model_inventory.csv,CSV,Phase 2,Models,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/function_inventory.csv,CSV,Phase 2,Functions,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/component_inventory.csv,CSV,Phase 3,Components,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/call_relationships.csv,CSV,Phase 4,Execution flow,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/notification_and_side_channel_map.csv,CSV,Phase 4,Side channels,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/data_flow_map.csv,CSV,Phase 5,Data flow,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/storage_touchpoints.csv,CSV,Phase 5,Storage boundaries,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/sync_touchpoints.csv,CSV,Phase 5,Sync boundaries,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/routing_touchpoints.csv,CSV,Phase 5,PCC routing,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/billing_touchpoints.csv,CSV,Phase 5,StoreKit boundaries,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/app_intents_touchpoints.csv,CSV,Phase 5,App Intents boundaries,KEEP_EVIDENCE,Ground truth,None,no,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/documentation_cross_reference.csv,CSV,Phase 6,Doc deficiencies,KEEP_EVIDENCE,Audit history,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/document_claim_matrix.csv,CSV,Phase 6,Doc claims,KEEP_EVIDENCE,Audit history,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/document_contradictions.csv,CSV,Phase 6,Doc contradictions,KEEP_EVIDENCE,Audit history,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/evidence_threads_impact_map.csv,CSV,Phase 7,Feature impact map,KEEP_EVIDENCE,Implementation guide,None,yes,yes,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/evidence_threads_design_decision.md,Markdown,Phase 7,Design B details,KEEP_EVIDENCE,Implementation context,None,yes,yes,high,exact,
Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,Markdown,Phase 8,Architecture Atlas,KEEP_CANONICAL,Master architecture map,None,yes,yes,critical,exact,
Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,Markdown,Phase 8,Source of Truth,KEEP_CANONICAL,Master ground truth,None,yes,yes,critical,exact,
Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md,Markdown,Phase 8,Consistency audit,KEEP_CANONICAL,Master consistency map,None,yes,no,critical,exact,
Docs/AuditArtifacts/DocumentationGovernance/document_disposition_matrix.csv,CSV,Phase 9A,Doc dispositions,KEEP_EVIDENCE,Audit history,None,no,no,high,exact,
Docs/AuditArtifacts/DocumentationGovernance/docs_updated_manifest.csv,CSV,Phase 9B,Docs modified,KEEP_EVIDENCE,Audit history,None,no,no,high,exact,
Docs/AuditArtifacts/DocumentationGovernance/change_to_docs_map.csv,CSV,Phase 9B,Map code to docs,KEEP_EVIDENCE,Audit history,None,yes,no,high,exact,
Docs/AuditArtifacts/ArchitectureAtlas/PHASE_LEDGER.md,Markdown,Governance,Phase history,KEEP_EVIDENCE,Audit history,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/ARTIFACT_REGISTRY.csv,CSV,Governance,Artifact history,KEEP_EVIDENCE,Audit history,None,no,no,medium,exact,
Docs/AuditArtifacts/ArchitectureAtlas/DEVIATIONS_AND_CORRECTIONS.md,Markdown,Governance,Mistakes and lessons,KEEP_EVIDENCE,Process improvement,None,yes,no,medium,exact,
Docs/AuditArtifacts/FinalReview/final_architecture_governance_review.md,Markdown,Final Review,Final summary,KEEP_CANONICAL,Closure artifact,None,yes,yes,high,exact,
Docs/AuditArtifacts/FinalReview/final_implementation_gate.md,Markdown,Final Review,Gate decision,KEEP_CANONICAL,Closure artifact,None,yes,yes,critical,exact,
