contradiction_id,doc_path,stale_or_contradictory_claim,verified_reality_reference,severity,recommended_correction,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
CON01,subsystem_map.md,Syncs workspace libraries across devices via CloudKit,WorkspaceSyncService.swift,HIGH,Replace 'CloudKit' references with 'iCloud Drive (Ubiquity) via NSFileCoordinator and NSMetadataQuery sweeps',code_verified,exact,WorkspaceSyncService.swift,view_file,Verified sync sweeps run via ubiquity query and skip Caches/LocalCache
CON02,component_inventory.csv,Library databases are separate SQLite files for isolation,SQLiteFullTextService.swift,MEDIUM,Update component_inventory.csv to clarify that all libraries share SQLite tables using column-based container_id isolation,code_verified,exact,SQLiteFullTextService.swift,view_file,Verified tables are shared and column-isolated
CON04,Docs/PRIVACY_AND_ROUTING.md,PCC routes execute on secure Private Cloud Compute enclaves,EngineSDKCompatibility.swift,HIGH,Clarify that PCC routes resolve to local compatibility wrappers on SystemLanguageModel.default in the current build,code_verified,exact,EngineSDKCompatibility.swift,view_file,PCC routes resolve to local compatibility wrappers
CON06,ChatMessage.swift,Comment: ChatV2 is in-memory only,ChatMessage.swift,LOW,Remove the stale comment since ChatV2 messages are serialized to JSON on changes,code_verified,exact,ChatMessage.swift,view_file,Verified comment exists but contradicts actual JSON persistence code
CON07,Docs/ARCHITECTURE.md,I designed the codebase to expose the entire RAG pipeline,communication_rules/rules.md,LOW,Rewrite to use passive voice: 'The codebase is designed to expose...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON08,Docs/PRIVACY_AND_ROUTING.md,I built OpenIntelligence as a local-first application,communication_rules/rules.md,LOW,Rewrite to: 'OpenIntelligence is built as a local-first...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON09,Docs/RETRIEVAL_PIPELINE.md,I built this app to bias responses...,communication_rules/rules.md,LOW,Rewrite to: 'The app is designed to bias responses...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON10,Docs/RETRIEVAL_PIPELINE.md,I designed the app so that a query...,communication_rules/rules.md,LOW,Rewrite to: 'The retrieval query is restricted strictly to...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON11,Docs/RETRIEVAL_PIPELINE.md,I included diagnostic and telemetry surfaces...,communication_rules/rules.md,LOW,Rewrite to: 'Diagnostic and telemetry surfaces are included...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON12,Docs/BILLING_AND_LIMITS.md,I define these StoreKit product IDs centrally...,communication_rules/rules.md,LOW,Rewrite to: 'StoreKit product IDs are defined centrally...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON13,Docs/BILLING_AND_LIMITS.md,I implemented a sticky paid-history protection...,communication_rules/rules.md,LOW,Rewrite to: 'A sticky paid-history protection state is implemented...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON14,Docs/INGESTION_PIPELINE.md,I use StructuredDocumentParser.swift to resolve...,communication_rules/rules.md,LOW,Rewrite to: 'StructuredDocumentParser.swift is used to resolve...',doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules prohibiting first-person pronouns
CON15,CHANGELOG.md,Shoutout to Tim for asking for this,communication_rules/rules.md,LOW,Remove the informal personal comment to maintain an objective tone,doc_claim_only,exact,rules.md,view_file,Violates solo-developer communication rules requiring objective tone
